serialnbr,productcode,batchnbr,Machinetime,Assemblytime,Finishingtime,cost
P5B5142N15,P5,B5142,4.97,6.16,6.28,109.84
P5B5142N16,P5,B5142,4.92,6.36,5.89,108.37
P5B5142N17,P5,B5142,5.13,5.81,6.22,108.78
P5B5142N18,P5,B5142,4.85,6.24,6.07,108.77
P5B5142N19,P5,B5142,4.87,5.85,5.96,107.1
P5B5142N20,P5,B5142,5.41,5.77,5.92,107.73
P5B5143N11,P5,B5143,5.05,6.16,6.03,108.73
P5B5143N12,P5,B5143,5.3,5.75,5.59,105.81
P5B5143N13,P5,B5143,4.75,6.01,6.0,107.53
P5B5143N14,P5,B5143,5.28,6.16,5.55,106.79
P5B5143N15,P5,B5143,5.08,5.86,6.13,108.4
P5B5143N16,P5,B5143,4.84,5.89,6.07,107.69
P5B5143N17,P5,B5143,5.08,5.84,5.87,107.04
P5B5143N18,P5,B5143,4.98,6.09,6.0,108.25
P5B5143N19,P5,B5143,4.9,6.12,6.12,108.76
P5B5143N20,P5,B5143,4.89,6.01,5.73,106.47
P5B5144N11,P5,B5144,5.21,6.26,5.83,108.35
P5B5144N12,P5,B5144,5.11,6.01,6.13,108.89
P5B5144N13,P5,B5144,5.05,5.89,6.16,108.59
P5B5144N14,P5,B5144,5.38,5.67,6.2,108.78
P5B5144N15,P5,B5144,5.11,6.11,6.51,111.11
P5B5144N16,P5,B5144,5.0,6.3,5.87,108.25
P5B5144N17,P5,B5144,4.86,5.98,5.56,105.46
P5B5144N18,P5,B5144,5.18,6.27,6.21,110.23
P5B5144N19,P5,B5144,4.8,6.25,6.12,108.96
P5B5144N20,P5,B5144,4.95,6.25,6.18,109.56
P5B5145N11,P5,B5145,4.91,6.17,5.94,108.02
P5B5145N12,P5,B5145,4.83,6.01,5.96,107.49
P5B5145N13,P5,B5145,5.3,5.52,6.36,108.95
P5B5145N14,P5,B5145,5.12,5.83,6.27,109.08
P5B5145N15,P5,B5145,4.98,5.91,5.81,106.72
P5B5145N16,P5,B5145,5.22,5.91,5.77,107.01
P5B5145N17,P5,B5145,5.07,6.29,6.19,109.95
P5B5145N18,P5,B5145,5.11,5.79,5.95,107.33
P5B5145N19,P5,B5145,4.89,6.06,5.85,107.22
P5B5145N20,P5,B5145,4.91,6.3,5.87,108.07
P5B5146N11,P5,B5146,4.8,6.13,6.29,109.45
P5B5146N12,P5,B5146,4.73,6.04,5.78,106.47
P5B5146N13,P5,B5146,5.15,5.99,5.96,108.07
P5B5146N14,P5,B5146,5.0,6.11,6.09,108.79
P5B5146N15,P5,B5146,5.11,5.74,6.11,107.99
P5B5146N16,P5,B5146,5.15,5.86,6.05,108.12
P5B5146N17,P5,B5146,5.29,5.78,5.58,105.83
P5B5146N18,P5,B5146,5.12,5.6,5.67,105.38
P5B5146N19,P5,B5146,4.74,6.36,5.96,108.36
P5B5146N20,P5,B5146,5.07,5.87,5.85,107.0
P5B5147N11,P5,B5147,4.86,6.19,5.66,106.6
P5B5147N12,P5,B5147,4.97,6.06,6.18,109.0
P5B5147N13,P5,B5147,4.77,5.97,5.56,105.26
P5B5147N14,P5,B5147,5.2,5.71,5.76,106.33
P5B5147N15,P5,B5147,5.02,6.17,6.35,110.3
P5B5147N16,P5,B5147,4.83,5.7,5.87,106.11
P5B5147N17,P5,B5147,4.88,6.01,6.28,109.17
P5B5147N18,P5,B5147,4.83,6.14,5.68,106.48
P5B5147N19,P5,B5147,5.29,6.06,5.78,107.66
P5B5147N20,P5,B5147,5.04,5.9,6.07,108.13
P5B5148N11,P5,B5148,5.03,6.06,6.31,109.79
P5B5148N12,P5,B5148,4.94,6.25,6.08,109.02
P5B5148N13,P5,B5148,4.74,5.82,6.04,107.14
P5B5148N14,P5,B5148,4.87,6.36,6.07,109.17
P5B5148N15,P5,B5148,4.74,5.98,5.92,107.02
P5B5148N16,P5,B5148,5.04,6.05,5.76,107.04
P5B5148N17,P5,B5148,4.88,5.94,5.99,107.55
P5B5148N18,P5,B5148,5.02,5.93,5.94,107.53
P5B5148N19,P5,B5148,5.19,5.88,5.95,107.78
P5B5148N20,P5,B5148,4.7,6.13,5.98,107.68
P5B5149N11,P5,B5149,4.95,5.79,5.96,107.07
P5B5149N12,P5,B5149,4.86,5.96,6.21,108.63
P5B5149N13,P5,B5149,4.77,5.89,6.25,108.47
P5B5149N14,P5,B5149,5.09,6.02,5.84,107.44
P5B5149N15,P5,B5149,4.82,5.87,5.97,107.11
P5B5149N16,P5,B5149,4.82,6.26,6.21,109.46
P5B5149N17,P5,B5149,5.19,6.03,5.63,106.63
P5B5149N18,P5,B5149,5.08,6.04,6.42,110.38
P5B5149N19,P5,B5149,4.72,5.67,6.07,106.8
P5B5149N20,P5,B5149,5.01,5.81,6.08,107.85
P5B5150N11,P5,B5150,4.88,5.97,5.95,107.42
P5B5150N12,P5,B5150,5.27,5.89,6.04,108.41
P5B5150N13,P5,B5150,5.2,6.07,6.17,109.45
P5B5150N14,P5,B5150,4.94,5.86,5.61,105.52
P5B5150N15,P5,B5150,5.01,5.8,6.04,107.63
P5B5150N16,P5,B5150,5.02,6.2,5.98,108.55
P5B5150N17,P5,B5150,4.95,6.16,5.83,107.53
P5B5150N18,P5,B5150,5.14,5.73,6.17,108.31
P5B5150N19,P5,B5150,4.94,5.89,5.96,107.35
P5B5150N20,P5,B5150,4.98,5.75,5.99,107.17
P5B5151N11,P5,B5151,5.19,5.94,6.27,109.56
P5B5151N12,P5,B5151,4.75,5.83,6.32,108.59
P5B5151N13,P5,B5151,5.23,5.86,5.88,107.44
P5B5151N14,P5,B5151,5.29,5.82,6.06,108.34
P5B5151N15,P5,B5151,5.18,5.63,5.95,107.0
P5B5151N16,P5,B5151,4.74,5.93,6.04,107.45
P5B5151N17,P5,B5151,5.14,6.23,5.9,108.47
P5B5151N18,P5,B5151,4.84,5.86,6.2,108.26
P5B5151N19,P5,B5151,5.3,6.11,6.12,109.54
P5B5151N20,P5,B5151,5.11,5.92,5.89,107.43
P5B5152N11,P5,B5152,4.95,5.94,5.79,106.68
P5B5152N12,P5,B5152,4.88,5.92,6.1,108.02
P5B5152N13,P5,B5152,5.08,6.08,6.24,109.61
P5B5152N14,P5,B5152,5.01,5.86,5.7,106.09
P5B5152N15,P5,B5152,5.01,5.64,6.15,107.69
P5B5152N16,P5,B5152,4.81,6.04,5.6,105.75
P5B5152N17,P5,B5152,4.8,6.05,6.17,108.61
P5B5152N18,P5,B5152,5.09,5.52,5.87,106.11
P5B5152N19,P5,B5152,4.94,6.17,6.24,109.6
P5B5152N20,P5,B5152,4.91,5.91,5.85,106.81
P5B5153N11,P5,B5153,5.1,5.46,5.9,106.08
P5B5153N12,P5,B5153,5.1,5.93,5.93,107.65
P5B5153N13,P5,B5153,5.1,6.44,5.89,108.95
P5B5153N14,P5,B5153,5.08,5.79,5.78,106.43
P5B5153N15,P5,B5153,5.18,6.22,5.69,107.48
P5B5153N16,P5,B5153,4.87,5.88,5.89,106.83
P5B5153N17,P5,B5153,5.19,5.85,6.15,108.68
P5B5153N18,P5,B5153,4.73,5.97,5.99,107.32
P5B5153N19,P5,B5153,5.09,5.87,6.24,109.0
P5B5153N20,P5,B5153,5.04,5.98,6.15,108.79
P5B5154N11,P5,B5154,5.04,6.31,5.94,108.69
P5B5154N12,P5,B5154,5.12,5.93,5.86,107.34
P5B5154N13,P5,B5154,4.9,6.22,6.06,108.78
P5B5154N14,P5,B5154,5.14,6.35,5.85,108.58
P5B5154N15,P5,B5154,5.3,6.02,6.36,110.47
P5B5154N16,P5,B5154,4.99,6.16,6.11,109.0
P5B5154N17,P5,B5154,5.09,6.07,6.18,109.29
P5B5154N18,P5,B5154,4.93,5.78,6.41,109.24
P5B5154N19,P5,B5154,5.0,6.17,6.21,109.56
P5B5154N20,P5,B5154,5.31,5.75,6.17,108.73
P5B5155N11,P5,B5155,5.06,5.77,5.85,106.68
P5B5155N12,P5,B5155,4.87,5.92,5.93,107.16
P5B5155N13,P5,B5155,4.93,5.99,6.23,108.96
P5B5155N14,P5,B5155,5.06,6.3,6.12,109.63
P5B5155N15,P5,B5155,4.71,5.62,6.11,106.84
P5B5155N16,P5,B5155,4.92,6.19,5.78,107.31
P5B5155N17,P5,B5155,4.92,6.16,6.19,109.28
P5B5155N18,P5,B5155,4.81,5.61,6.11,107.0
P5B5155N19,P5,B5155,4.7,6.11,5.98,107.63
P5B5155N20,P5,B5155,4.63,5.94,5.97,106.91
P5B5156N11,P5,B5156,4.97,5.65,5.72,105.51
P5B5156N12,P5,B5156,4.98,5.87,6.25,108.81
P5B5156N13,P5,B5156,4.79,5.83,5.89,106.53
P5B5156N14,P5,B5156,5.38,5.68,5.97,107.66
P5B5156N15,P5,B5156,4.89,6.14,6.55,110.97
P5B5156N16,P5,B5156,5.11,5.98,6.09,108.59
P5B5156N17,P5,B5156,4.79,5.64,5.92,106.1
P5B5156N18,P5,B5156,5.19,5.83,5.81,106.92
P5B5156N19,P5,B5156,5.07,5.91,6.04,108.05
P5B5156N20,P5,B5156,4.97,6.04,5.56,105.86
P5B5157N11,P5,B5157,5.28,6.04,5.88,108.09
P5B5157N12,P5,B5157,4.93,5.61,5.81,105.75
P5B5157N13,P5,B5157,5.14,5.6,6.3,108.59
P5B5157N14,P5,B5157,5.16,5.78,5.94,107.35
P5B5157N15,P5,B5157,5.24,6.52,6.06,110.35
P5B5157N16,P5,B5157,5.33,6.35,5.7,108.22
P5B5157N17,P5,B5157,4.72,6.12,6.25,109.04
P5B5157N18,P5,B5157,4.7,6.09,5.84,106.87
P5B5157N19,P5,B5157,5.05,5.83,5.91,107.15
P5B5157N20,P5,B5157,5.0,5.96,5.97,107.74
P5B5158N11,P5,B5158,4.79,5.9,5.92,106.89
P5B5158N12,P5,B5158,5.17,6.07,6.15,109.3
P5B5158N13,P5,B5158,5.19,6.39,5.85,108.79
P5B5158N14,P5,B5158,5.18,5.82,5.83,106.97
P5B5158N15,P5,B5158,5.07,6.06,6.01,108.38
P5B5158N16,P5,B5158,5.13,6.09,6.02,108.62
P5B5158N17,P5,B5158,5.13,5.95,5.76,106.92
P5B5158N18,P5,B5158,5.08,6.3,6.29,110.5
P5B5158N19,P5,B5158,5.16,6.22,6.39,110.93
P5B5158N20,P5,B5158,4.81,5.67,6.0,106.63
P5B5159N11,P5,B5159,5.1,6.13,5.91,108.13
P5B5159N12,P5,B5159,4.57,5.73,5.68,104.73
P5B5159N13,P5,B5159,4.81,6.13,5.81,107.07
P5B5159N14,P5,B5159,5.0,5.85,6.28,108.94
P5B5159N15,P5,B5159,5.31,6.2,5.74,107.9
P5B5159N16,P5,B5159,4.99,6.24,5.82,107.78
P5B5159N17,P5,B5159,5.14,5.94,5.94,107.79
P5B5159N18,P5,B5159,4.98,6.03,6.08,108.46
P5B5159N19,P5,B5159,4.87,6.05,6.13,108.53
P5B5159N20,P5,B5159,4.95,5.93,5.81,106.72
P5B5160N11,P5,B5160,4.96,6.24,6.15,109.38
P5B5160N12,P5,B5160,5.13,5.96,6.01,108.19
P5B5160N13,P5,B5160,4.79,5.74,6.24,108.0
P5B5160N14,P5,B5160,5.16,6.05,5.9,107.97
P5B5160N15,P5,B5160,5.02,5.98,5.92,107.57
P5B5160N16,P5,B5160,5.01,5.97,5.92,107.53
P5B5160N17,P5,B5160,5.01,6.09,5.96,108.1
P5B5160N18,P5,B5160,5.03,6.3,5.74,107.67
P5B5160N19,P5,B5160,5.14,5.97,5.78,107.1
P5B5160N20,P5,B5160,5.05,5.77,5.78,106.33
P5B5161N11,P5,B5161,5.02,5.97,6.14,108.66
P5B5161N12,P5,B5161,4.92,5.63,5.83,105.89
P5B5161N13,P5,B5161,4.87,6.12,6.02,108.19
P5B5161N14,P5,B5161,5.07,5.85,6.15,108.44
P5B5161N15,P5,B5161,4.98,6.31,5.71,107.45
P5B5161N16,P5,B5161,4.94,6.08,6.09,108.56
P5B5161N17,P5,B5161,4.52,6.23,6.15,108.48
P5B5161N18,P5,B5161,4.99,5.92,5.57,105.59
P5B5161N19,P5,B5161,4.9,6.34,5.83,107.97
P5B5161N20,P5,B5161,5.18,6.17,6.1,109.38
P5B5162N11,P5,B5162,5.26,5.83,6.41,110.08
P5B5162N12,P5,B5162,5.01,6.05,5.95,107.91
P5B5162N13,P5,B5162,4.99,5.84,5.85,106.76
P5B5162N14,P5,B5162,4.8,6.12,6.13,108.62
P5B5162N15,P5,B5162,4.9,5.65,5.69,105.19
P5B5162N16,P5,B5162,5.0,6.05,6.13,108.83
P5B5162N17,P5,B5162,5.05,6.0,5.95,107.84
P5B5162N18,P5,B5162,4.85,6.11,5.82,107.14
P5B5162N19,P5,B5162,5.22,5.97,6.48,110.74
P5B5162N20,P5,B5162,5.21,5.96,5.82,107.4
P5B5163N11,P5,B5163,4.94,6.1,6.05,108.41
P5B5163N12,P5,B5163,5.12,6.25,5.83,108.14
P5B5163N13,P5,B5163,4.88,6.09,6.12,108.63
P5B5163N14,P5,B5163,4.9,5.81,6.17,108.09
P5B5163N15,P5,B5163,4.92,5.88,5.9,106.97
P5B5163N16,P5,B5163,4.92,5.76,6.2,108.15
P5B5163N17,P5,B5163,4.95,6.02,6.22,109.06
P5B5163N18,P5,B5163,4.96,5.88,5.74,106.28
P5B5163N19,P5,B5163,5.01,5.86,5.82,106.7
P5B5163N20,P5,B5163,5.07,5.64,6.15,107.81
P5B5164N11,P5,B5164,5.11,5.73,6.03,107.56
P5B5164N12,P5,B5164,5.07,5.86,6.0,107.71
P5B5164N13,P5,B5164,5.09,6.11,6.1,109.0
P5B5164N14,P5,B5164,5.01,5.89,5.95,107.44
P5B5164N15,P5,B5164,5.19,5.9,6.19,109.05
P5B5164N16,P5,B5164,4.75,6.14,5.84,107.12
P5B5164N17,P5,B5164,4.87,6.05,5.96,107.69
P5B5164N18,P5,B5164,4.95,6.25,5.78,107.56
P5B5164N19,P5,B5164,4.9,5.57,5.7,105.0
P5B5164N20,P5,B5164,5.1,6.04,5.78,107.23
P5B5165N11,P5,B5165,5.01,6.15,5.86,107.77
P5B5165N12,P5,B5165,4.95,6.12,6.31,109.81
P5B5165N13,P5,B5165,5.15,5.72,6.35,109.21
P5B5165N14,P5,B5165,5.1,6.05,5.78,107.25
P5B5165N15,P5,B5165,5.06,6.13,5.81,107.55
P5B5165N16,P5,B5165,4.97,6.3,5.99,108.79
P5B5165N17,P5,B5165,5.04,6.16,6.06,108.86
P5B5165N18,P5,B5165,5.04,6.2,6.28,110.09
P5B5165N19,P5,B5165,4.87,5.74,5.59,104.91
P5B5165N20,P5,B5165,5.26,5.99,6.04,108.69
P5B5166N11,P5,B5166,5.14,5.66,5.57,105.11
P5B5166N12,P5,B5166,5.09,6.02,6.03,108.38
P5B5166N13,P5,B5166,5.22,6.26,5.75,107.97
P5B5166N14,P5,B5166,4.87,6.11,6.27,109.42
P5B5166N15,P5,B5166,4.91,6.18,5.95,108.13
P5B5166N16,P5,B5166,4.73,5.96,6.2,108.33
P5B5166N17,P5,B5166,4.69,5.79,6.2,107.75
P5B5166N18,P5,B5166,4.88,5.96,6.17,108.48
P5B5166N19,P5,B5166,5.07,5.98,6.12,108.68
P5B5166N20,P5,B5166,5.07,6.16,6.1,109.13
P5B5167N11,P5,B5167,5.21,6.01,6.31,109.98
P5B5167N12,P5,B5167,4.95,6.38,6.2,110.03
P5B5167N13,P5,B5167,4.76,6.14,5.92,107.53
P5B5167N14,P5,B5167,4.87,6.17,5.78,107.16
P5B5167N15,P5,B5167,4.89,5.74,5.74,105.69
P5B5167N16,P5,B5167,5.14,5.96,5.99,108.09
P5B5167N17,P5,B5167,4.89,5.92,6.26,108.82
P5B5167N18,P5,B5167,4.89,5.96,5.78,106.56
P5B5167N19,P5,B5167,5.17,5.96,6.12,108.81
P5B5167N20,P5,B5167,5.29,6.29,5.78,108.34
P5B5168N11,P5,B5168,5.16,6.06,5.55,106.24
P5B5168N12,P5,B5168,5.23,6.02,5.87,107.86
P5B5168N13,P5,B5168,4.84,6.29,6.46,110.85
P5B5168N14,P5,B5168,5.03,6.0,5.98,107.94
P5B5168N15,P5,B5168,5.28,5.98,6.26,109.79
P5B5168N16,P5,B5168,4.86,6.12,5.89,107.55
P5B5168N17,P5,B5168,5.2,5.86,6.54,110.68
P5B5168N18,P5,B5168,4.86,5.93,5.96,107.33
P5B5168N19,P5,B5168,4.95,5.87,6.21,108.57
P5B5168N20,P5,B5168,4.92,5.99,5.87,107.16
P5B5169N11,P5,B5169,5.28,5.79,6.04,108.13
P5B5169N12,P5,B5169,5.03,6.11,5.88,107.79
P5B5169N13,P5,B5169,4.87,5.83,6.06,107.53
P5B5169N14,P5,B5169,4.84,6.18,6.55,110.97
P5B5169N15,P5,B5169,4.83,6.0,5.88,107.06
P5B5169N16,P5,B5169,4.97,6.06,5.78,107.03
P5B5169N17,P5,B5169,4.93,5.86,5.99,107.39
P5B5169N18,P5,B5169,5.31,5.67,5.87,106.97
P5B5169N19,P5,B5169,4.97,6.19,6.28,109.92
P5B5169N20,P5,B5169,4.98,5.77,6.01,107.33
P5B5170N11,P5,B5170,4.78,6.1,6.1,108.37
P5B5170N12,P5,B5170,5.08,5.93,6.01,108.0
P5B5170N13,P5,B5170,5.13,6.02,5.65,106.58
P5B5170N14,P5,B5170,5.14,6.11,5.97,108.44
P5B5170N15,P5,B5170,5.05,6.04,5.58,106.12
P5B5170N16,P5,B5170,5.02,6.24,6.05,109.02
P5B5170N17,P5,B5170,4.93,6.09,6.06,108.43
P5B5170N18,P5,B5170,4.86,5.97,6.04,107.83
P5B5170N19,P5,B5170,5.13,5.87,6.02,107.97
P5B5170N20,P5,B5170,4.97,5.95,5.89,107.25
P5B5171N11,P5,B5171,4.97,5.72,5.82,106.2
P5B5171N12,P5,B5171,4.92,5.86,5.96,107.22
P5B5171N13,P5,B5171,5.01,6.24,5.88,108.12
P5B5171N14,P5,B5171,5.09,6.28,6.08,109.42
P5B5171N15,P5,B5171,4.79,6.24,5.82,107.4
P5B5171N16,P5,B5171,4.96,5.98,5.68,106.26
P5B5171N17,P5,B5171,4.76,5.99,5.93,107.12
P5B5171N18,P5,B5171,5.11,6.12,6.09,109.02
P5B5171N19,P5,B5171,4.69,6.15,6.13,108.47
P5B5171N20,P5,B5171,4.83,5.9,5.99,107.31
P5B5172N11,P5,B5172,5.46,5.74,5.94,107.82
P5B5172N12,P5,B5172,4.96,5.68,5.99,106.91
P5B5172N13,P5,B5172,4.93,5.86,5.97,107.29
P5B5172N14,P5,B5172,4.91,5.84,5.77,106.17
P5B5172N15,P5,B5172,5.2,6.25,6.27,110.49
P5B5172N16,P5,B5172,5.04,5.9,5.96,107.57
P5B5172N17,P5,B5172,5.19,6.09,6.13,109.3
P5B5172N18,P5,B5172,4.94,6.15,5.83,107.48
P5B5172N19,P5,B5172,4.85,5.72,5.91,106.41
P5B5172N20,P5,B5172,5.0,5.84,6.1,108.02
P5B5173N11,P5,B5173,4.92,5.97,6.08,108.15
P5B5173N12,P5,B5173,5.14,5.63,5.8,106.16
P5B5173N13,P5,B5173,5.11,5.72,6.33,109.0
P5B5173N14,P5,B5173,4.95,6.29,5.91,108.31
P5B5173N15,P5,B5173,5.22,6.07,6.29,110.09
P5B5173N16,P5,B5173,4.97,6.09,5.86,107.51
P5B5173N17,P5,B5173,5.03,5.89,6.17,108.58
P5B5173N18,P5,B5173,4.66,5.95,6.01,107.22
P5B5173N19,P5,B5173,4.98,6.2,5.85,107.81
P5B5173N20,P5,B5173,4.92,6.26,5.95,108.36
P5B5174N11,P5,B5174,5.12,5.62,5.56,104.91
P5B5174N12,P5,B5174,5.24,5.9,6.14,108.87
P5B5174N13,P5,B5174,4.78,6.21,5.91,107.74
P5B5174N14,P5,B5174,5.1,5.9,5.95,107.65
P5B5174N15,P5,B5174,5.08,5.8,6.08,107.96
P5B5174N16,P5,B5174,4.92,5.84,5.58,105.27
P5B5174N17,P5,B5174,5.04,6.33,6.12,109.67
P5B5174N18,P5,B5174,5.17,6.02,5.99,108.35
P5B5174N19,P5,B5174,4.97,6.2,5.97,108.39
P5B5174N20,P5,B5174,5.06,5.86,6.03,107.84
P5B5175N11,P5,B5175,4.92,6.0,6.36,109.66
P5B5175N12,P5,B5175,5.05,5.9,5.89,107.26
P5B5175N13,P5,B5175,5.08,6.24,5.99,108.83
P5B5175N14,P5,B5175,5.15,5.9,5.76,106.78
P5B5175N15,P5,B5175,5.29,5.82,5.82,107.13
P5B5175N16,P5,B5175,5.01,6.3,6.21,109.95
P5B5175N17,P5,B5175,4.75,5.67,5.85,105.76
P5B5175N18,P5,B5175,4.88,5.97,6.28,109.07
P5B5175N19,P5,B5175,4.95,5.95,5.88,107.15
P5B5175N20,P5,B5175,4.85,5.69,5.84,105.95
P5B5176N11,P5,B5176,5.28,5.99,5.89,107.97
P5B5176N12,P5,B5176,5.02,5.93,6.08,108.24
P5B5176N13,P5,B5176,4.74,6.09,5.99,107.71
P5B5176N14,P5,B5176,4.88,6.09,5.97,107.88
P5B5176N15,P5,B5176,4.91,5.77,6.06,107.42
P5B5176N16,P5,B5176,5.0,5.88,5.83,106.79
P5B5176N17,P5,B5176,4.77,6.04,6.0,107.66
P5B5176N18,P5,B5176,4.7,5.88,6.04,107.23
P5B5176N19,P5,B5176,4.81,6.11,6.1,108.45
P5B5176N20,P5,B5176,4.87,5.93,6.19,108.48
P5B5177N11,P5,B5177,4.82,6.42,6.17,109.76
P5B5177N12,P5,B5177,4.9,5.8,6.21,108.25
P5B5177N13,P5,B5177,5.02,6.13,6.2,109.45
P5B5177N14,P5,B5177,4.86,6.22,5.89,107.83
P5B5177N15,P5,B5177,4.97,6.22,5.98,108.5
P5B5177N16,P5,B5177,5.16,6.53,6.11,110.48
P5B5177N17,P5,B5177,4.86,5.88,6.13,108.03
P5B5177N18,P5,B5177,5.29,6.25,5.79,108.29
P5B5177N19,P5,B5177,5.47,6.05,5.75,107.83
P5B5177N20,P5,B5177,4.76,6.1,5.83,106.96
P5B5178N11,P5,B5178,5.13,5.93,5.73,106.72
P5B5178N12,P5,B5178,4.9,6.25,6.51,111.11
P5B5178N13,P5,B5178,4.94,6.03,5.98,107.87
P5B5178N14,P5,B5178,4.85,5.92,6.16,108.27
P5B5178N15,P5,B5178,5.19,5.84,6.19,108.85
P5B5178N16,P5,B5178,5.15,5.9,5.78,106.9
P5B5178N17,P5,B5178,4.93,5.99,5.89,107.3
P5B5178N18,P5,B5178,5.16,6.0,5.93,107.98
P5B5178N19,P5,B5178,4.46,5.53,6.15,106.24
P5B5178N20,P5,B5178,5.11,6.01,5.71,106.8
P5B5179N11,P5,B5179,5.12,6.16,6.02,108.82
P5B5179N12,P5,B5179,5.18,6.36,5.85,108.68
P5B5179N13,P5,B5179,4.93,5.96,6.03,107.89
P5B5179N14,P5,B5179,4.84,5.85,6.01,107.27
P5B5179N15,P5,B5179,5.23,5.88,5.78,106.98
P5B5179N16,P5,B5179,4.99,5.97,5.92,107.5
P5B5179N17,P5,B5179,4.91,6.26,5.99,108.56
P5B5179N18,P5,B5179,4.88,5.89,6.24,108.62
P5B5179N19,P5,B5179,4.81,6.17,5.99,108.07
P5B5179N20,P5,B5179,4.96,6.11,5.85,107.51
P5B5180N11,P5,B5180,4.87,5.78,6.06,107.38
P5B5180N12,P5,B5180,4.91,6.58,5.91,109.1
P5B5180N13,P5,B5180,4.74,6.19,5.67,106.41
P5B5180N14,P5,B5180,4.95,5.81,5.69,105.78
P5B5180N15,P5,B5180,5.0,6.1,5.69,106.77
P5B5180N16,P5,B5180,4.94,6.05,6.05,108.29
P5B5180N17,P5,B5180,5.3,5.82,5.64,106.25
P5B5180N18,P5,B5180,5.07,5.74,5.96,107.16
P5B5180N19,P5,B5180,4.73,5.88,6.18,108.01
P5B5180N20,P5,B5180,4.79,5.97,6.16,108.31
P5B5181N11,P5,B5181,5.06,5.81,5.86,106.87
P5B5181N12,P5,B5181,5.05,6.18,5.91,108.19
P5B5181N13,P5,B5181,5.03,6.04,6.04,108.37
P5B5181N14,P5,B5181,5.03,6.02,6.02,108.21
P5B5181N15,P5,B5181,4.87,6.03,5.94,107.53
P5B5181N16,P5,B5181,5.08,6.07,5.83,107.53
P5B5181N17,P5,B5181,4.76,6.19,6.15,108.85
P5B5181N18,P5,B5181,5.01,6.03,5.86,107.4
P5B5181N19,P5,B5181,5.24,5.92,6.08,108.64
P5B5181N20,P5,B5181,4.86,5.94,6.24,108.76
P5B5182N11,P5,B5182,4.86,5.93,5.86,106.79
P5B5182N12,P5,B5182,4.93,5.98,6.08,108.19
P5B5182N13,P5,B5182,4.79,5.74,6.15,107.55
P5B5182N14,P5,B5182,4.71,6.3,5.9,107.83
P5B5182N15,P5,B5182,4.97,6.38,5.94,108.77
P5B5182N16,P5,B5182,4.99,6.04,6.07,108.45
P5B5182N17,P5,B5182,4.54,5.57,6.09,106.23
P5B5182N18,P5,B5182,4.84,6.13,5.98,107.96
P5B5182N19,P5,B5182,5.01,5.99,5.87,107.35
P5B5182N20,P5,B5182,4.86,6.14,6.35,109.9
P5B5183N11,P5,B5183,5.2,6.11,5.85,107.98
P5B5183N12,P5,B5183,4.81,5.85,5.81,106.23
P5B5183N13,P5,B5183,5.0,5.95,5.92,107.47
P5B5183N14,P5,B5183,5.46,6.01,5.72,107.56
P5B5183N15,P5,B5183,4.72,6.4,6.07,109.0
P5B5183N16,P5,B5183,4.91,5.65,5.43,103.93
P5B5183N17,P5,B5183,5.15,5.95,5.78,107.06
P5B5183N18,P5,B5183,5.27,5.95,6.14,109.11
P5B5183N19,P5,B5183,4.88,6.16,5.76,107.04
P5B5183N20,P5,B5183,5.11,6.17,6.29,110.17
P5B5184N11,P5,B5184,4.94,6.14,6.02,108.39
P5B5184N12,P5,B5184,5.05,5.87,6.12,108.31
P5B5184N13,P5,B5184,4.99,5.96,6.52,110.47
P5B5184N14,P5,B5184,4.83,5.74,6.0,106.87
P5B5184N15,P5,B5184,4.91,6.2,6.2,109.42
P5B5184N16,P5,B5184,4.99,5.98,6.22,108.99
P5B5184N17,P5,B5184,4.81,5.97,5.95,107.27
P5B5184N18,P5,B5184,4.64,5.53,6.2,106.87
P5B5184N19,P5,B5184,5.05,5.85,5.89,107.09
P5B5184N20,P5,B5184,5.19,5.87,6.13,108.66
P5B5185N11,P5,B5185,5.05,5.96,5.85,107.22
P5B5185N12,P5,B5185,4.92,5.88,6.37,109.35
P5B5185N13,P5,B5185,4.73,6.14,6.21,108.92
P5B5185N14,P5,B5185,4.83,5.9,5.68,105.77
P5B5185N15,P5,B5185,4.79,5.71,5.88,106.11
P5B5185N16,P5,B5185,5.0,6.07,5.97,108.05
P5B5185N17,P5,B5185,5.05,5.95,6.22,109.06
P5B5185N18,P5,B5185,4.95,6.35,6.11,109.51
P5B5185N19,P5,B5185,5.03,5.81,6.03,107.64
P5B5185N20,P5,B5185,5.12,5.54,6.12,107.45
P5B5186N11,P5,B5186,4.89,6.12,6.03,108.3
P5B5186N12,P5,B5186,4.99,6.03,6.15,108.83
P5B5186N13,P5,B5186,5.05,6.31,6.03,109.2
P5B5186N14,P5,B5186,4.63,5.94,6.05,107.34
P5B5186N15,P5,B5186,5.15,5.89,5.85,107.21
P5B5186N16,P5,B5186,5.01,6.03,6.0,108.1
P5B5186N17,P5,B5186,4.94,5.88,6.16,108.31
P5B5186N18,P5,B5186,4.96,6.32,6.21,109.94
P5B5186N19,P5,B5186,4.74,6.16,6.31,109.52
P5B5186N20,P5,B5186,4.69,6.21,6.2,109.03
P5B5187N11,P5,B5187,5.49,5.9,5.96,108.48
P5B5187N12,P5,B5187,4.57,6.25,6.07,108.24
P5B5187N13,P5,B5187,4.97,5.92,6.34,109.4
P5B5187N14,P5,B5187,5.23,6.06,5.81,107.71
