"BATCHNBR","TEST1","TEST2","TEST3","TEST4","TEST5","TEST6","TEST7","TEST8","TEST9","TEST10","BATCHQUALITY"
"B4543","6.85","4.21","9.6","8.58","4.19","2.3","7.04",".5","7.01","2","good"
"B4544","1.04","1.48","6.66","3.05","3.5",".61","9.39","8.26","9.61","6.43","good"
"B4545","3.1",".59","3.83","9.44","1.29","8.85","6.1","2.45",".78","3.04","good"
"B4546","5.96","4.88","6.04","1.01","8.22","5.82","3.57","6.09","6.42",".76","good"
"B4547","7.41","1.94","4.67","9.18","3.68","3.91","9.94","3.1","7.14","1.03","good"
"B4548",".88","8.99","6.84","2","8.65","5.98","6.09","3.71","3.77","7.06","good"
"B4549",".54","4.56","3.97","8.4","7.72","5.71","3.58","8.87","3.8","5.3","good"
"B4550","1.34","7.72","6.74","4.63","8.46","4.51","4.87","8.41","1.81","7.9","good"
"B4551","8.25","5.45","1.75",".39","1.53","6.74","9.68","1.91","9.37","8.72","good"
"B4552","5.79",".62",".21","4.47","9.38",".75","9.77","2.63","3.11",".8","poor"
"B4553","5.69","8.28","9.61","1.04","2.69","2.74",".05","7.74","9.8","2.26","good"
"B4554","6.58",".91","9.34","6.82",".39","7.85",".36","1.48","3.9","1.57","poor"
"B4555","6.29","6.23","9.95","4.78","9.16","8.42","5.28","6.84","7.42","4.25","good"
"B4556","4.6","1.09","2.99","2.64","6.22","7.13","6.78",".94","5.75",".25","good"
"B4557","6.84","5.43","3.42","6.06","5.95","4.78","2.79","5.99","9.44","4.05","good"
"B4558","3.83","2.91","9.44","6","3.85","7.62","6.76","7.18",".64","6.3","good"
"B4559","9.57","1.35","3.29","8.26","5.21",".64","9.57","4.77","3.8","7.97","good"
"B4560","6.19","4.36","4",".39","5.31","5.76","6.95","7.95","2.25","4.57","good"
"B4561","1.95","7.29","1.21","5.56","3.62","3.04","8.3",".52","3.73","7.33","good"
"B4562",".28","6.16","5.14","9.71","2.56","7.22","8.79","9.03","3.08","9","good"
"B4563","3.1","8.06",".8","1.91","9.08",".6","6.51",".83","6.96","3.31","good"
"B4564","2.06","3.93","5.24","8.61","9.8","1.92","2.34","5.02","2.97","5.32","good"
"B4565","1.93","8.91","5.69","9.52",".41","9.23",".66","1.31","9.85","2.14","poor"
"B4566","1.59",".11","6.72","3.35","7.19","3.22","4.97","8.55","3.4","8.44","good"
"B4567","3.97","8.35",".86","3.66","8.96","3.8","7.98","2.45","4.3","1.6","good"
"B4568","8.36","8.69","1.95","8.56","7.31","8.47","8.73","3.35","5.71","8.55","good"
"B4569",".93","2.69","6.34","6.13","9.86","2.02","1.96","2.84",".13","3.15","good"
"B4570","5.36",".27","8.45","8.02",".67","4.23","6.7","2.86","4.48","6.76","poor"
"B4571","9.94","2.9","3.2","3.25","3.37","1.35","4.98","2.2","1.37","6.82","good"
"B4572","5.33","9.72","7.09","5.01","4.38","2.04","1.97","3.76","3.95","5.6","good"
"B4573","5.77","9.32",".24","2.2","5.08","6.15","5.76","6.97","2.61","9.78","poor"
"B4574","5.3","8.64","9.7",".88",".11","2.45","3.32","3.94","6.33","6.87","poor"
"B4575","3.94","1.24","4.73","3.58","4.8","1.4",".06",".21","4.49","1.57","good"
"B4576","8.33","8.76","9.74","9.7","2.12","8.82","2.09","1.43","7.95","3.86","good"
"B4577","7.96",".89","2.74","2.21","9.82","4.83","1.97","1.88","7.48",".48","good"
"B4578","2.34","6.03","1.2","8.09","6.05","8.95","2.48","1.64","8.82","4.81","good"
"B4579","3.48","5.72","3.13","8.93","4.59","9.69","4.44","1.93",".62","3.92","good"
"B4580","7.41","5.85","9.92","5.57","9.2","1.94","7.02","6.63","9.18",".51","good"
"B4581","9.19","7.53",".33","8.74","7.58","9.7","9.16","1.47","9.21","9.95","poor"
"B4582","5.56","4.25","3.32","2.42",".69",".8","8.53","7.94","4.08","5.75","poor"
"B4583","8.51","6.56","2.92","3.7","1.6","3.9","2.36","4.88","4.05","9.09","good"
"B4584","9.37","8.91","8.8","8.65","1.33","9.45","6.97","8.56","8.16",".9","good"
"B4585","1.12","5.57","7.3","7.95","6.54","6.67","2.87","1.52","7.61","6.4","good"
"B4586","5.35","9.53","1.17","2","9.04","4.55","5.14","9.42","8.54","2.43","good"
"B4587","9.53","3.8","9.26","3.44","8.44",".57","1.22","1.94","3.09","3.32","poor"
"B4588","5.61","3.53","9.45","5.37","4.52","4.2","6.43","2.23","6.54","3.36","good"
"B4589","8.68","4.76","6.92","3.87",".47","6.97","9.02",".78","8.41","3.97","poor"
"B4590","8.33",".13","2.25","1.32","8.24",".29",".56","7.95","2.74","4.16","poor"
"B4591","7.98","3.54","8.76","7.38","3.96","1.69","8","5.29","6.68","6.4","good"
"B4592","5.18","4.52","1.22","2.98","4.46","1.71","9.87","2.23","7.08","1.01","good"
"B4593","1.92",".63","3.48","5.4","1.61","8.57","3.31","6.73","2.9","8","good"
"B4594","7.92","1.14","2.52","5.47","2.38","2.47","2.4","8.27","8.02","9.48","good"
"B4595","5.33","7.58",".79","7.31","4.42","9.92",".15","4.75","3.53","6.99","poor"
"B4596","1.26","8.94","8.06","2.82","3.94","3.44","6.3","7.61","9.44","9.96","good"
"B4597","4.36","5.22","8.26","4.57","3.3","7.6","3.96","8.27","6.19",".32","good"
"B4598","1.05","2.13","9.62","2.63","2.27","1.51","4","8.26",".56",".51","good"
"B4599","3.83","7.37","1.95","2.51","5.22","5.88","8.72","4.81","1.8","8.74","good"
"B4600","3.54","9.72","9.77",".67","4.65","3.72","6.23","5.33","5.33","1.26","good"
"B5101","3.69","3.19","1.58",".22","5.12","3.31","6.2","6.28","1.99","3.91","good"
"B5102","6.17",".36","1.47","9.27","4.89","7.2","2.06","8.47","2.6","1.99","good"
"B5103","4.78","1.26","5.47","2.48","2.13","7.62","6.36","5.68",".78","1.2","good"
"B5104","8.97","2.02","6.92","2.47",".51","6.29","8.2","4.47","2.94","8.69","poor"
"B5105","3.86",".93","8.62","1","6.91","8.23","3.97","9.98","9.27","8.27","good"
"B5106","1.38","8.21","2.63","4.66","6.46","2.63","8.64","2.26","5.48",".34","good"
"B5107","1.03","5.08","3.46","7.34","4.95","7.47","1.12","4.11","1.61","9.84","good"
"B5108","7.08","5.42","7.79","9.74","9.92","7.89","7.27","3.64",".81","3.97","good"
"B5109","5.04","6.04","4.59","8.47","2.79","5.93","7.48","6.17","1.54","7.99","good"
"B5110","6.56","4.9","4.16","2.26","6.79","1.52","5.23","2.62","9.76","5.95","good"
"B5111","1.4","9.22",".35","7.8","5.81","4.59","4.09","5.07","2.75",".09","poor"
"B5112","5.09",".93","2.02","9.95",".88","7.43","2.52","7.1","4.1","8.13","poor"
"B5113","3.8",".15","3","8.38","2.62","3.08",".59","8.28","7.65","4.71","good"
"B5114","2.01","1.71","5.88","5.09","1","7.77","5.79","8.29","4.2","7.75","good"
"B5115","9.82","9.79","7.35","8.48","1.24","6.42","5.2",".88","5.61","3.39","good"
"B5116","4.96","3.04","8.81","8.67","4.01","2.53","8.15","1.6","5.93","1.73","good"
"B5117","6.73","3.25","9.63","4.25","2.45","6.57",".42","2.16","5.81","3.89","good"
"B5118","1.61","4.27","7.4","7.34","7.82","6.58","2.36","8.92","8","3.02","good"
"B5119",".23","4.23",".91","3.29","8.61","9.04","9.95","7.61","9.93","5.58","good"
"B5120","4.57","2.95","5.11","4.63",".28","8.07","3.4","8.35","6.19","1.52","poor"
"B5121","9.01","4.91",".82","5.21","5.64","9.47","9.12","1.82","3.45","2.55","good"
"B5122","1.04","3.1","3.21","9.85","4.96","6.48","8.75","5.68","4.19","9.87","good"
"B5123","3.81",".23","8.39","2.69","1.33","5.45",".61","1.43","4.68","3.24","good"
"B5124","7.14","9.84","2.56","8.67","6.48","2.3","6.44",".46","5.5","8.67","good"
"B5125","4.12",".96","3.97","9.71","5.5","5.27","4.96","1.07","7.99","7.99","good"
"B5126","8.17","4.71","5.49","2.94","9.01",".87","1.32","3.15","5.36","1.72","good"
"B5127","5.33","3.79",".31","4.9",".92","1.01",".79","5.6","3.92","7.77","poor"
"B5128","2.87","6.05",".62","6.37","2.45","8.7","4.09",".27",".27","7.13","poor"
"B5129","7.02",".86",".5","3",".39","2.73","4.17",".52","8.43","7.33","poor"
"B5130","3.66","8.79",".63","1.06","3.72","2.07","6.36","2.18","1.24","9.86","poor"
"B5131","2.01","2.76",".19","9.21","2.99","8.74","1.84","2.37","9.22","1.07","poor"
"B5132","2.33","7.49","9.13","9.52","7.87","1.64","8.63","8.14","4.7","4.04","good"
"B5133","1.58",".24","2.92","3.8","8.85","3.94",".04","2.75","6.03","6.2","good"
"B5134","9.76","6.58","6.9","4.23","7.15","7.5","3.04",".56","6.23","4.27","good"
"B5135","1.63","4.96",".34","5.26","3.31","5.73","2.29","2.04","3.87","4.99","poor"
"B5136","5.88","7.14","9.67","9.48","6.74",".51","1.07","7.26","3.67","2.98","poor"
"B5137","3.62","6.7","9.08","7.35",".58","7.41","9.9","1.74","4.01","3.31","poor"
"B5138","5.05","7.31","8.7","2.02","3.65","3.48","6.23","7.69","8.66","9.58","good"
"B5139","3.26","7.2","5.95","8.38","5.04","8.01","3.68","4.89","9.61","2.15","good"
"B5140","2.92","4.02","5.87","1.85","6.72","1.18",".02","7.99","8.13","2.34","good"
"B5141","2.85","1.97","2.96","1.92","8.21","8.32","3.71","3.49","9.8","9.07","good"
"B5142","3.83","6","6.33","7.64","1.44",".87",".11","3.59","1.68","6.73","good"
"B5143","5.7","6.5","7.42","1.59","5.11","7.62","6.16","4.2","5.53","5.73","good"
"B5144","8.78","2.31","2.19","8.58","4.11","5.64","3.25","6.65","7.76","3.64","good"
"B5145","5.38","4.76","5.8","3.44",".07","6.4","4.83","5.36","2.58","5.37","poor"
"B5146",".78","7.11","3.42","1.86","9.03","2.19",".27","2.96","4.25","5.53","good"
"B5147",".14","8.59","6.87","5.83","6.83","3.02","1.76","4.14","6.24","8.33","good"
"B5148","1.69","9.9","5.43",".87","9.27","2.02","9.61","2.46","9.27","4.68","poor"
"B5149","9.42","8.56","1.89","5.53","6.57","3.28","8.3","2.68",".61","7.48","good"
"B5150","4.62","5.08","7.39",".75","7.01","6.99","1.31",".68",".86","8.22","good"
"B5151","1.09","5.27","3.82","5.71","5.19","6.02","6.66","5","7.85","4.73","good"
"B5152","4.92","6.84","8.96","2.36","3.34","5.13",".93","1.98","3.33","4.23","good"
"B5153","3.59","6.54",".08","4.57","9.06","2.2","3.33",".65","5.33","1.33","poor"
"B5154",".08","5.95","7.01","9.04","7.14","6.23","2.49","3.71","4.16","4.32","good"
"B5155","3.33","3.81","7.05","8.08","5.79","4.13","7.29","9.63",".43","7.29","good"
"B5156","5.28","7.11","7.08","5.63","2.1","6.51",".71","7.41","9.63","1.91","good"
"B5157","7.79","1.95","1.34",".8","4.27","3.17","4.02","2.65",".12","6.71","good"
"B5158","7.05","3.91","6.88","9.07","9.05","1.06","4.13","6.76","3.44","4.21","good"
"B5159","1.26","7.62","8.97","1.33","9.48","5.54","7.27","7.93","7.12","9.32","good"
"B5160","5.92","10","4.19",".75","4.94",".05","7.83",".42","3.3","6.92","good"
"B5161","9.72","1.86","5.8","4.55","1.01","3.47","8.91","9.21","6.24","7.14","good"
"B5162","5.43","3.01","8.02","7.36","5.63","1.44","1.2","1.8",".79","4.32","good"
"B5163","2.49","4.11","5.6","6.5","4.38","9.23","9.56","5.28","1","2.54","good"
"B5164","4.21","9.96","9.6","9.22","8.4","1.14","3.41","8.75","1.16","1.62","good"
"B5165","4.37","6.72","2.46","2.24","7.28","2.31","2.4","3.52","9.73","4.15","good"
"B5166","3.02","7.04","4.23","4.29","7.45","6.96","5.5","8.85","4.37","8.53","good"
"B5167",".71","3.63","2.73","3.51","3.07","8.13","1.64","2.94","4.26",".15","good"
"B5168","6.12","5.04","3.18","1.73","6.55","3.15","5.22","4.51","5.56",".38","good"
"B5169","9.61","2.2","5.04","5","6.16","9.61","5.61","7.25","4.6","8.51","good"
"B5170",".8","7.33","7.75","3.67","8.78","2.99","8.98","5.23","2.88","9.08","good"
"B5171","9.76","4.6","1.31","7.57","3.53","8.64","2.24","9.04","1.64","6.27","good"
"B5172","1.65","2.97","4.9","8.68","9.42","8.09",".59","8.76",".54","7.21","good"
"B5173","5.04","6.19","3.38","8.31","1.24","8.04","5.16",".84","5.26","3.15","good"
"B5174",".31","6.64",".99","3.98","8.28","3.6","3.9","4","2.73","8.82","good"
"B5175","1.08","8.27","6.71",".47","3.03","1.72","1.92","8.01","1.59","9.1","good"
"B5176","3.6","6.63","2.83","9.67","7.18","6.61","2.33","8.47","8.18","2.54","good"
"B5177","8.98","9.52","3.72",".78","7.02","1.34","3.8","2.66","9.79","5.78","good"
"B5178","5.72","4.35",".06","1.66","8.94","7.58","8.73","4.19",".15","5.35","poor"
"B5179","1.21",".88","2.18","6.98","4.77","7.57","5.68","5.74","1.76","7.2","good"
"B5180","1.9",".59",".76","8.48","8.26","9.37","3.14","7.95","2.68","4.98","poor"
"B5181",".7","3.13","5.67","8.07","2.04","2.4","5.26",".25","2.94","8.59","good"
"B5182",".89","1.03","6.41","7.6","2.17","6.12","6.33","6.65","7.89","7.45","good"
"B5183","4.77","3.73","5.72","3.32",".66","3.77","9.6","5.86","5.93",".57","poor"
"B5184",".58","1","5.05","1.57","9.95","5.68","2.49","4.41","5.51","5.24","good"
"B5185","8.78","1.46","5.79",".81",".56","6.96","9.1","4.42","5.65","3.74","poor"
"B5186","2.54","9.1","9.19","2.37","8.88",".87","6.38","4.94","1.75","2.96","good"
"B5187","1.84","4.23","3.28","8.3","5.3","9.87","5.53","9.21","3.29","8.39","good"
"B5188","2.67","4.98","4.68","4.34","6.24","3.99","7.61","1.32",".11","1.56","good"
"B5189",".45",".32","1.99","9.85","2.98","8.55","3.85","5.22","9.99",".94","good"
"B5190",".51","9","1.26","9.33","3.96","6.51","6.72","8.53","4.97","1.46","good"
"B5191",".25","8.62","3.74","6.12","7.2","4.77","7.51","8.29","7.71","4.14","good"
"B5192","9.7","8.23",".7","4.18","8.64","1.12","2.88","2.19","8.55",".21","poor"
"B5193","4.86","8.37","8","2.19",".22","4.11","1.71","8.3","1.77","4.56","poor"
"B5194",".84","2.59","7.82",".8","1.05","5.02","6.96","2.05","3.68","7.15","good"
"B5195","6.59","1.49","1.6","2.76","5.23",".43","4.22","6.66","6.24","4.22","poor"
"B5196","8.12",".91","2.96","3.9","4.07","3.22","9.94","1.77","3.38",".66","good"
"B5197","9.02","1.73","9.81","1.72","3.25","4.04","1.76","7.72","2.38","8.59","good"
"B5198","8.69","6.27","9.95","7.07","7.5","3.24","2.17",".07","5.63","3.77","good"
"B5199","2.39","8.13","6.01","2.81","8.49","8.4","2.53","7.69","1.94","9.9","good"
"B5200","2.22","9.67","7.62","4.47","6.55","4.27","1.6","5","6.14","8.7","good"
"B5201","4.49","1.91",".74","8.22","2.54","8.1","7.2","8.34","7.37","7.96","poor"
"B5202","3.13","9.22","4.48","3.66","8.54",".33","8.1","7.8",".04","2.79","poor"
"B5203","7.48","8.32","7.96","1.74","9.4","1.5","7.45","5.38","1.07","7.61","good"
"B5204","9.06","8.86",".28","3.18",".61","3.2","2.37",".3",".92",".73","poor"
"B5205","2.73","1.49","4.61","8.14","4.43","8.77",".53","5.46",".37","8.83","good"
"B5206","9.66","8.42","5.32","9.79","2.18","8.76","7.51","9.36",".8","2.6","good"
"B5207","4.53",".36","1.81",".04","1.93","6.13","4.39","9.9",".01",".44","good"
"B5208","6.71","3.16","3.74","4.47","9.1","6.59","4.48","9.79","6.05","9.12","poor"
"B5209","8.75",".63","6.35","4.19","4.7","2.42","3.52","3.4","4.47","3.7","good"
"B5210",".9",".79","2.08","5.9","1.6","4.59","7.86","2.53","9.97","8.65","good"
"B5211","3.37","3.14","9.38","8.44","1.39","7.09","6.96","7.07","4.34","1.05","good"
"B5212","1.26","3.35","6.19","5.98","4.42","7.34","3.99","6.07","4.73",".68","good"
"B5213","9.62","8.66","3.57",".93","5.49","8.54",".27",".47","6.15","1.73","good"
"B5214","9.57","9.43","8.25","1.84","6.28","2.67","4.2","9.02","8.87","1.75","good"
"B5215","7.54","7.38",".4","9.65","6.32","2.92","4.17","9.41","5.03","1.41","poor"
"B5216","6.44","9.89",".76",".8","2.08","1.6","2.73","8.18","3.38","5.07","poor"
"B5217","8.91","7.63",".08","3.19","7.3","2.78","5.41","1.96","6.88","9.25","poor"
"B5218","6.33","9.07","8.59","7.25","5.22","1.89","3.45","3.54","1.63","9.57","good"
"B5219","1.94","4.74","2.8","8.16",".83","9.51","7.43","4.71",".48","7.92","poor"
"B5220","1.38","1.4","8.73","9.51","8.61","8.44","4.14","4.51","4.27","8.81","good"
"B5221","7.3","1.51","5.93",".81","9.9","5.56","1.29","4.65","6.35","6.24","good"
"B5222","4.68","4.69","8.6","3.64","5.12","7.38","2.86","1.16","1.04","1.99","good"
"B5223","1.9","2.17","8.54","8.94","3.59","2.98","4.94","1.64","8.31","8.42","good"
"B5224","9.89","4.69","3.96","6.19",".57","9.59","5.69","2.35","8.73","4.09","poor"
"B5225","1.86","4.83","8.87","7.67","9.81","4.63","3.15","5.69","5.07","9.69","good"
"B5226","2.74","2.34","9.49","6.63","9.77","5.59","2.8","5.54","7.75","5.39","good"
"B5227","5.59","6.58","9.55","9.24","6.03","6.79","7.97","7.78","9.68","6.88","good"
"B5228","8.05","4.41","1.09","7.65","2.02","2.79","6.58","6.44","1.87","6.63","good"
"B5229",".3",".78","4.34","3.09","8.03","3.6","3.56","8.63","6.05","1.24","good"
"B5230","9.07","3.89","1.51",".14","6.21","4.58","4.92","8.59",".29","2.64","good"
"B5231","1.97","4.64","3.61","1.03","1.36","7.11","3.25","6.04","5.02","3.5","good"
"B5232","2.39","8.77","2.56",".8","2.63","8.69","5.23","4.12","8","4.77","good"
"B5233","6.43","8.97","9.97","1.84","3.49","8.76","3.02","9.15","2.6","5.83","good"
"B5234","4.72","7.11","8.61","8.57","3.82","3.05","6.29","1.71","1.22","5.54","good"
"B5235","9.08","5.81",".5",".27","4.5","8.91","3.31",".77","2.7","5.76","poor"
"B5236","2.62","4.61","2.98","7.9","7.44","7.39","4.69","9.5",".42","7.54","good"
"B5237",".44","6.21","5.88","5.41","3.97","1.82","6.68","7.4","2.14","9.61","good"
"B5238",".18","1.94","2.33","1.33","2.67","3.21","8.15","8.28","3.9","4.53","good"
"B5239","2.88","7.49","4.24","5.51","4.84","3.52","2.68","7.04","8.29","8.36","good"
"B5240","2.99","7.27","5.16","5.62","5.99","8.57","1.46","5.31",".19","5.63","good"
"B5241","9.23","1.17","8.44",".82","2.17","4.91","2.62","6.01","7.84","9.18","good"
"B5242","2.52","6.56","1.86","7.76","7.53",".11","5.66","2.22","1.65","8.24","poor"
"B5243","3.03","2.41","4.13","5.44","3.05","3.19","1.43","1.05",".25","5.41","good"
"B5244","6.1","1.87","1.32",".65","1.58",".58","5.87","6.13",".59","3.75","poor"
"B5245",".4","2.68","2.73","3.1","8.47",".33","8.06","7.36","7.84","3.88","poor"
"B5246","3.84",".62","7.08","9.89","7.46",".37","9.22","2.46","3.96","4.66","poor"
"B5247","6.39","4.8","7.13","2.74","2.52",".6",".87","5.98","9.04","6.95","good"
"B5248","7.46","2.87","5.7","6.95","7.3","9.95","6.72","9.72","1.04","1.93","good"
"B5249","5.02","2.81","7.74","2.72","1.25","9.83","1.27","5.38","6.77","2.08","good"
"B5250","8.53","5.21","9.45","6.7","3.95","2.04","2.08","8.97","5.73","2.72","good"
"B5251","6.05","8.33","7.18","6.44","2.1","8.6","4.97","3.92","8.84","6.97","good"
"B5252","8.16",".41","8.29","7.78","6.74","3.77","2.6","8.99","2.44",".06","good"
"B5253","3.11","2.89","4.08","3.22",".25","1.35","3","1.66","1.41","1.91","poor"
"B5254","3.01","2.02","1.68","9.49","8.57","5.43","7.75","1.8","6.37","6.56","good"
"B5255","6.23","6.65","5.14",".83","6.19","5.88","6.65","7.36",".43","3.6","good"
"B5256","4.06","5.59","5.69","6.25",".25","8.48","8.4","4.66","6.4","7.35","poor"
"B5257","7.04","6.96","1.04","4.27","2.83","4.85","9.85",".78","7.88",".49","good"
"B5258",".46","7.37","1.97","2.95","2.21","7.41","7.46","3.52",".4","3.38","good"
"B5259","1.88","8.65","6.01","7.29","8.8","7.94","9.36","5.34","7.84","4.61","good"
"B5260","2.28","9.77","5.39","1.27","4.86","3.08","10","9.95",".3","3.75","good"
"B5261","3.82","1.37","2.13","9.74","3.15","4.51",".51","2.36","8.87","9.15","good"
"B5262","9.85","6.67",".96","7.26","4.25","7.96","9.02","6.24",".49","7.65","good"
"B5263","5.2","4.85","5.71","8.6","9.17","1.37","6.91","3.62","9.32",".78","good"
"B5264","1.55","8.13","4.65","8.89","4.22",".58","8.76","9.7","6.13","3.6","poor"
"B5265","5.9","5.92","5","6.24",".7","5.13","2.05","6.44","9.42","7.41","poor"
"B5266",".9","3.19","1.69","3.83","5.58",".9","8.92","6.21","4.73","4.9","good"
"B5267","8.62",".5","9.17",".25","5.8","7.69","4.04","2.3","6.52","4.52","good"
"B5268","1.38","3.25","2.06","8.59",".06","4.93","3.1","6","8.94","7.91","poor"
"B5269","6.92","9.72","2.95",".45","6.12","8.18","3.31","6.07","6.37","9.91","good"
"B5270","6.18","6.74","4.87","4.35","9.54","5","5.14","8.84","9.01","2.54","good"
"B5271","6.6","8.32","6.23",".87","4.58","4.49","6.16","7.27","3.08","2.1","good"
"B5272","2.59","2.55","4.72","8.54","4.07","9.77","5.85","8.5","8.97","3.48","good"
"B5273","3.41","4.63","9.53","9.32","2.33","4.84","7.49","5.35","7.97","6.3","good"
"B5274","3.13","7.3","3.11",".13","5.27","2.71","4.88",".25","8.32","8.66","good"
"B5275","7.09","7.95","1.53","3.79","3.5","5.6","6.19","7.22","5.68","9.38","good"
"B5276",".97","5.53","7.34",".95","4.72","5.78","4.37","9.2","4.75","2.15","good"
"B5277","5.11","7.88","2.64","6.14","2.67","2.58","5.55","3.93","3.39","4.12","good"
"B5278","6.77","4.9","8.46",".48",".14","7.66","3.51","3.49","3.69",".16","poor"
"B5279","2.31","3.57","7.18","5.12",".98","6.77","3.19","6.69","9.65","3.27","poor"
"B5280","3.11","3.3","3.23","6.37","2.1","4.67","1.52","6.08","9.78","6.09","good"
"B5281","9.71","6.38",".8","8.17","3.37",".77","6.19","8.82","1.08","1.43","good"
"B5282","3.96","5.66","8.34","8.21","8.63","3.38","4.83","8.57","5.4","1.82","good"
"B5283","1.67","8.85","6.72","6.25","9.38","3.13","6.64","2.87","2.03","8.92","good"
"B5284","7.21","2.58","8.52","1.95","1.28","5.4","1.82",".9","1.43","6.73","good"
"B5285","5.66","8.25","3.62","4.95","9.51","8.36","2.53","7.97","4.37","1.81","good"
"B5286","7.53","5.66","2.66","5.47","5.3","8.38","4.3","4.77","4.57","8.85","good"
"B5287","6.68","4.82","9.89","8.39","9.38","5.6","9.22","1.38","5.66","6.57","good"
"B5288","8.05","2.38","6.02","9.62","5.82","1.71","1.49","3.81",".13","8.47","good"
"B5289","8.72","1.2","2.41","2.61","3.91","4.63","5.01","5.66","7.31","3.93","good"
"B5290","7.74","6.14","8.3","4.7",".51","6.14","6.96","3.18","1.88","4.6","poor"
"B5291","6.78","5.39","4.16","2.61","4.48","1.72","7.66","7.59","3.56","5.69","good"
"B5292","6.98","7.79","1.52","3.38","2.08","3.84","1.17","2.72","7.82","7.14","good"
"B5293",".91",".73","1.68","4.36","8.3","6.7","5.83","2.69","8","2.22","good"
"B5294","3.07","4.14","2.86","3.49",".71","9.79","3.05","8.36","7.29","9.86","poor"
"B5295","7.94","7.89","6.2",".12","9.99","5.38","6.5","1.45",".05","8.88","good"
"B5296","1.24","5.84","7.08","2.28","5.95","4.31","8.19","8.74","4.07","2.5","good"
"B5297","8.89","6.49","9.76","5.82","8.45","8.36","9.9","1.79",".74","5.61","good"
"B5298","4.43","1.94","9.79","9.14","7.55","3.21","4","1.04","8.19","5.34","good"
"B5299","5.18","1.71",".25","2.41","4.12","5.25","5.1","9.83","7.44","6.88","poor"
"B5300","7.93","5.08","2.05","6.32","6.22","4.06","3.15","7.33","8.1","9.78","good"
"B5301","5.37","5.89","2.8","1.26","3.88","4.29","9.3","3.29",".62","8.7","good"
"B5302","2.29","5.97","1.23","9.69","2.79",".72","3","1.65","2.94","5","good"
"B5303","3.11","4.28","1.83","6.84","1.9","3.78","5.92","3.63","1.38",".42","good"
"B5304","8.48","1.27","6.33","5","1.39","1.52","5.89","5.44","6.26","8.55","good"
"B5305","7.54","3.09","1.08","4.86","8.07","6.1","10","7.99","3.22","3.88","good"
"B5306","5.24","3.64","2.22","6.19","7.72","8.64","7.28","4.64","9.69","7.31","good"
"B5307","7.5","7.56",".32","8.11","9.67","1.87",".93","6.25","7.83","1.8","poor"
"B5308",".01","6.38","8.84","9.91","5.92","3.95","7.7","1.09","4.02",".95","good"
"B5309","5.45","3.8","6.92","7.33","4.9","5.66","4.47",".15","1.71","5.09","good"
"B5310",".79",".41","9.01",".56","9.45","5.83","5","3.97",".88","2.74","good"
"B5311","9.09","7.14","7.05","8.22","1.22","8.74","9.89","7.52","9.92",".12","good"
"B5312","9.71","4.07","5.9","7.22",".77","2.41","6.23","1.54","8.4","2.12","poor"
"B5313","1.48","3.07","6.26","1.38","2.92","4.73","5.04","8.14","1.88","3.99","good"
"B5314","3.29","5.94","7.83","6.9","2.45","7.87","5.07","1.71","7.26","1.77","good"
"B5315","3.06","4.62","2.76","1.09","5.54",".61","9.91","9.16","2.47","6.29","good"
"B5316","6.91","2.33","6.53","5.87","1.8",".89","4.15","9.89","1.15","2.03","good"
"B5317","4.11","6.76","2.98",".01","6.72","8.09","5.82","4.26","1.1","7.57","good"
"B5318","1.59","6.64","6.24","1.98","4.38","5.39","7.76","5.59","4.09","3.18","good"
"B5319","8.26","3.5","7.25",".07","6.66","9.77","6.58","8.28","1.48","3.11","good"
"B5320","6.37","1.21","5.21","9.16","4.85","4.1","6.48","5.95","6.5","6.59","good"
"B5321",".16","4.36","6.95",".38","5.77","6.66",".92","2.84","9.7","3.07","good"
"B5322",".11","3.6","6.26","3.2","5.12","8.06","2.3","9.56","7.08","6.69","good"
"B5323","4.04","7.03","8.59","5.46","3.62",".44",".92","1.58","5.61","8.65","poor"
"B5324","4.32","5.52","7.33","6.16","8.46","6.43","6.69","7.84","6.95","6.37","good"
"B5325","6.09","9.03","5.66","5.11","6.35","7.61","6.52","7.87","4.29","5.7","good"
"B5326","3.07","1.52","2.09",".41","2.17","4.69","6.55","1.37","5.02","5.04","good"
"B5327",".25","9.36","1.11",".13","3.72","7.1","1.29","4.13","9.04","4.91","good"
"B5328","6.89","1.29","4.77","5.5","8.59",".3","1.34","8.4","7.75","2.17","poor"
"B5329","8.22","4","7.05","1.26","1.05","2.86","4.47",".71","2.12",".94","good"
"B5330","2.23","7.43","2.44","3.41","8.07","1.21","9.95","7.36","5.4","4.6","good"
"B5331","5.46","2.05","1.99","3.13","7.17","8.58","1.72","7.01","8.32","9.97","good"
"B5332","3.28","4.74","5.78",".55","7.17","1.6","4.46","2.72",".97","9.59","good"
"B5333","9.56","1.78","6.35","2.95","5.22","4.58",".82","4.83","3.36","1.98","good"
"B5334",".42","5.07","5.21",".54","1.95","2.92","3.94","6.36","6.35","9.35","good"
"B5335",".37","1.75","8.49","1.66","5.43","2.6","2.95","1.62","6.09","6.4","good"
"B5336","8.54","9.1","6.89","1.95","2.82","3.55",".21","1.48",".52","8.52","good"
"B5337","5.17","3.52",".96",".64","9.66","8.49","3.13","4.17","1.57","2.1","poor"
"B5338","4.76","3.31","8.92","6.34",".57","6.85","3.19","8.21","2.68","7.49","poor"
